dataset,method,fl_algo,head_train_mode,adapter_bottleneck,trainable_scope,evaluation_protocol,backbone_pretrained,backbone_frozen,task_id_known_at_inference,num_clients,alpha,replay,replay_per_class,mu,n_seeds,final_accuracy,final_accuracy_ci95,final_forgetting,final_forgetting_ci95,final_bwt,final_bwt_ci95,final_fwt,final_fwt_ci95,peak_drop,peak_drop_ci95,plasticity,plasticity_ci95,stability,stability_ci95,stability_peak,stability_peak_ci95,plasticity_stability_hmean,plasticity_stability_hmean_ci95,plasticity_stability_peak_hmean,plasticity_stability_peak_hmean_ci95,client_mean_acc,client_mean_acc_ci95,client_acc_std,client_acc_std_ci95,client_worst_acc,client_worst_acc_ci95,client_best_acc,client_best_acc_ci95,acc_per_comm_mb,acc_per_comm_mb_ci95,communication_mb,communication_mb_ci95,runtime_min,runtime_min_ci95,avg_power_w,avg_power_w_ci95,peak_power_w,peak_power_w_ci95,energy_j,energy_j_ci95,avg_cpu_util,avg_cpu_util_ci95,avg_gpu_util,avg_gpu_util_ci95,peak_ram_mb,peak_ram_mb_ci95
cifar100,FULL_FEDAVG,FEDAVG,current,16,NA,NA,False,False,True,10,NA,False,0,0.0000,3,0.1086 ± 0.0039,"0.1086 ± 0.0039 [95% CI: 0.1042, 0.1130]",0.0000 ± 0.0000,"0.0000 ± 0.0000 [95% CI: 0.0000, 0.0000]",NaN,NaN,NaN,NaN,NaN,NaN,0.1086 ± 0.0039,"0.1086 ± 0.0039 [95% CI: 0.1042, 0.1130]",1.0000 ± 0.0000,"1.0000 ± 0.0000 [95% CI: 1.0000, 1.0000]",NaN,NaN,0.1959 ± 0.0064,"0.1959 ± 0.0064 [95% CI: 0.1887, 0.2031]",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0006 ± 0.0000,"0.0006 ± 0.0000 [95% CI: 0.0005, 0.0006]",195.69,"[95% CI: 195.69, 195.69]",16.43,"[95% CI: 16.22, 16.65]",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
cifar100,FULL_FEDAVG,FEDAVG,current,16,NA,NA,False,False,True,10,0.1000,False,20,0.0000,3,0.1044 ± 0.0048,"0.1044 ± 0.0048 [95% CI: 0.0989, 0.1098]",0.0000 ± 0.0000,"0.0000 ± 0.0000 [95% CI: 0.0000, 0.0000]",0.0000 ± 0.0000,"0.0000 ± 0.0000 [95% CI: 0.0000, 0.0000]",-0.0921 ± 0.0068,"-0.0921 ± 0.0068 [95% CI: -0.0999, -0.0844]",0.0000 ± 0.0000,"0.0000 ± 0.0000 [95% CI: 0.0000, 0.0000]",0.1044 ± 0.0048,"0.1044 ± 0.0048 [95% CI: 0.0989, 0.1098]",1.0000 ± 0.0000,"1.0000 ± 0.0000 [95% CI: 1.0000, 1.0000]",1.0000 ± 0.0000,"1.0000 ± 0.0000 [95% CI: 1.0000, 1.0000]",0.1890 ± 0.0079,"0.1890 ± 0.0079 [95% CI: 0.1801, 0.1979]",0.1890 ± 0.0079,"0.1890 ± 0.0079 [95% CI: 0.1801, 0.1979]",0.6028 ± 0.0202,"0.6028 ± 0.0202 [95% CI: 0.5800, 0.6256]",0.0594 ± 0.0091,"0.0594 ± 0.0091 [95% CI: 0.0491, 0.0697]",0.5249 ± 0.0264,"0.5249 ± 0.0264 [95% CI: 0.4950, 0.5548]",0.7225 ± 0.0387,"0.7225 ± 0.0387 [95% CI: 0.6787, 0.7663]",0.0005 ± 0.0000,"0.0005 ± 0.0000 [95% CI: 0.0005, 0.0006]",195.69,"[95% CI: 195.69, 195.69]",20.10,"[95% CI: 20.06, 20.14]",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
cifar100,FULL_FEDAVG,FEDAVG,current,16,NA,NA,False,False,True,10,0.5000,False,0,0.0000,6,0.1049 ± 0.0012,"0.1049 ± 0.0012 [95% CI: 0.1040, 0.1059]",0.0000 ± 0.0000,"0.0000 ± 0.0000 [95% CI: 0.0000, 0.0000]",NaN,NaN,NaN,NaN,NaN,NaN,0.1049 ± 0.0012,"0.1049 ± 0.0012 [95% CI: 0.1040, 0.1059]",1.0000 ± 0.0000,"1.0000 ± 0.0000 [95% CI: 1.0000, 1.0000]",NaN,NaN,0.1899 ± 0.0020,"0.1899 ± 0.0020 [95% CI: 0.1884, 0.1915]",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0005 ± 0.0000,"0.0005 ± 0.0000 [95% CI: 0.0005, 0.0005]",195.69,"[95% CI: 195.69, 195.69]",10.75,"[95% CI: 10.73, 10.77]",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
cifar100,FULL_FEDAVG,FEDAVG,current,16,NA,NA,False,False,True,10,0.7000,False,20,0.0000,6,0.1029 ± 0.0030,"0.1029 ± 0.0030 [95% CI: 0.1005, 0.1052]",0.0000 ± 0.0000,"0.0000 ± 0.0000 [95% CI: 0.0000, 0.0000]",0.0000 ± 0.0000,"0.0000 ± 0.0000 [95% CI: 0.0000, 0.0000]",-0.0921 ± 0.0061,"-0.0921 ± 0.0061 [95% CI: -0.0970, -0.0873]",0.0000 ± 0.0000,"0.0000 ± 0.0000 [95% CI: 0.0000, 0.0000]",0.1029 ± 0.0030,"0.1029 ± 0.0030 [95% CI: 0.1005, 0.1052]",1.0000 ± 0.0000,"1.0000 ± 0.0000 [95% CI: 1.0000, 1.0000]",1.0000 ± 0.0000,"1.0000 ± 0.0000 [95% CI: 1.0000, 1.0000]",0.1865 ± 0.0049,"0.1865 ± 0.0049 [95% CI: 0.1826, 0.1904]",0.1865 ± 0.0049,"0.1865 ± 0.0049 [95% CI: 0.1826, 0.1904]",0.3659 ± 0.0064,"0.3659 ± 0.0064 [95% CI: 0.3608, 0.3711]",0.0224 ± 0.0060,"0.0224 ± 0.0060 [95% CI: 0.0176, 0.0271]",0.3348 ± 0.0121,"0.3348 ± 0.0121 [95% CI: 0.3251, 0.3445]",0.4041 ± 0.0116,"0.4041 ± 0.0116 [95% CI: 0.3947, 0.4134]",0.0005 ± 0.0000,"0.0005 ± 0.0000 [95% CI: 0.0005, 0.0005]",195.69,"[95% CI: 195.69, 195.69]",19.92,"[95% CI: 19.78, 20.05]",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
cifar100,LWF,FEDAVG,current,16,NA,NA,False,False,True,2,0.7000,False,20,0.0000,3,0.1993 ± 0.0204,"0.1993 ± 0.0204 [95% CI: 0.1762, 0.2224]",0.0863 ± 0.0495,"0.0863 ± 0.0495 [95% CI: 0.0303, 0.1424]",-0.0432 ± 0.0248,"-0.0432 ± 0.0248 [95% CI: -0.0712, -0.0151]",-0.1000 ± 0.0000,"-0.1000 ± 0.0000 [95% CI: -0.1000, -0.1000]",0.0432 ± 0.0248,"0.0432 ± 0.0248 [95% CI: 0.0151, 0.0712]",0.1993 ± 0.0204,"0.1993 ± 0.0204 [95% CI: 0.1762, 0.2224]",0.9137 ± 0.0495,"0.9137 ± 0.0495 [95% CI: 0.8576, 0.9697]",0.9568 ± 0.0248,"0.9568 ± 0.0248 [95% CI: 0.9288, 0.9849]",0.3267 ± 0.0267,"0.3267 ± 0.0267 [95% CI: 0.2965, 0.3569]",0.3295 ± 0.0276,"0.3295 ± 0.0276 [95% CI: 0.2983, 0.3608]",0.3031 ± 0.0143,"0.3031 ± 0.0143 [95% CI: 0.2869, 0.3194]",0.0120 ± 0.0131,"0.0120 ± 0.0131 [95% CI: -0.0028, 0.0268]",0.2911 ± 0.0234,"0.2911 ± 0.0234 [95% CI: 0.2646, 0.3177]",0.3151 ± 0.0143,"0.3151 ± 0.0143 [95% CI: 0.2989, 0.3314]",0.0006 ± 0.0001,"0.0006 ± 0.0001 [95% CI: 0.0005, 0.0006]",342.71,"[95% CI: 342.71, 342.71]",0.83,"[95% CI: 0.79, 0.87]",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
cifar100,LWF,FEDAVG,current,16,NA,NA,False,False,True,10,0.7000,False,20,0.0000,3,0.5000 ± 0.0004,"0.5000 ± 0.0004 [95% CI: 0.4996, 0.5004]",0.1719 ± 0.0045,"0.1719 ± 0.0045 [95% CI: 0.1668, 0.1770]",-0.1547 ± 0.0041,"-0.1547 ± 0.0041 [95% CI: -0.1593, -0.1501]",-0.0886 ± 0.0036,"-0.0886 ± 0.0036 [95% CI: -0.0926, -0.0845]",0.1547 ± 0.0041,"0.1547 ± 0.0041 [95% CI: 0.1501, 0.1593]",0.5000 ± 0.0004,"0.5000 ± 0.0004 [95% CI: 0.4996, 0.5004]",0.8281 ± 0.0045,"0.8281 ± 0.0045 [95% CI: 0.8230, 0.8332]",0.8453 ± 0.0041,"0.8453 ± 0.0041 [95% CI: 0.8407, 0.8499]",0.6235 ± 0.0011,"0.6235 ± 0.0011 [95% CI: 0.6223, 0.6247]",0.6283 ± 0.0009,"0.6283 ± 0.0009 [95% CI: 0.6273, 0.6293]",0.5656 ± 0.0110,"0.5656 ± 0.0110 [95% CI: 0.5532, 0.5780]",0.0359 ± 0.0148,"0.0359 ± 0.0148 [95% CI: 0.0191, 0.0526]",0.4995 ± 0.0315,"0.4995 ± 0.0315 [95% CI: 0.4639, 0.5352]",0.6253 ± 0.0024,"0.6253 ± 0.0024 [95% CI: 0.6226, 0.6281]",0.0000 ± 0.0000,"0.0000 ± 0.0000 [95% CI: 0.0000, 0.0000]",42838.18,"[95% CI: 42838.18, 42838.18]",123.57,"[95% CI: 123.30, 123.84]",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
cifar100,MAS,FEDAVG,current,16,NA,NA,False,False,True,2,0.7000,False,20,0.0000,3,0.2833 ± 0.0311,"0.2833 ± 0.0311 [95% CI: 0.2481, 0.3186]",0.0000 ± 0.0000,"0.0000 ± 0.0000 [95% CI: 0.0000, 0.0000]",0.0602 ± 0.0422,"0.0602 ± 0.0422 [95% CI: 0.0124, 0.1079]",-0.1000 ± 0.0000,"-0.1000 ± 0.0000 [95% CI: -0.1000, -0.1000]",0.0000 ± 0.0000,"0.0000 ± 0.0000 [95% CI: 0.0000, 0.0000]",0.2833 ± 0.0311,"0.2833 ± 0.0311 [95% CI: 0.2481, 0.3186]",1.0000 ± 0.0000,"1.0000 ± 0.0000 [95% CI: 1.0000, 1.0000]",1.0000 ± 0.0000,"1.0000 ± 0.0000 [95% CI: 1.0000, 1.0000]",0.4409 ± 0.0382,"0.4409 ± 0.0382 [95% CI: 0.3977, 0.4842]",0.4409 ± 0.0382,"0.4409 ± 0.0382 [95% CI: 0.3977, 0.4842]",0.3491 ± 0.0175,"0.3491 ± 0.0175 [95% CI: 0.3293, 0.3689]",0.0352 ± 0.0497,"0.0352 ± 0.0497 [95% CI: -0.0211, 0.0915]",0.3139 ± 0.0471,"0.3139 ± 0.0471 [95% CI: 0.2606, 0.3672]",0.3842 ± 0.0578,"0.3842 ± 0.0578 [95% CI: 0.3188, 0.4497]",0.0008 ± 0.0001,"0.0008 ± 0.0001 [95% CI: 0.0007, 0.0009]",342.71,"[95% CI: 342.71, 342.71]",0.70,"[95% CI: 0.66, 0.74]",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
cifar100,SHARED_ADAPTER,FEDAVG,current,8,NA,NA,False,False,True,10,0.7000,False,20,0.0000,3,0.1092 ± 0.0038,"0.1092 ± 0.0038 [95% CI: 0.1049, 0.1135]",0.0011 ± 0.0006,"0.0011 ± 0.0006 [95% CI: 0.0004, 0.0018]",0.0022 ± 0.0040,"0.0022 ± 0.0040 [95% CI: -0.0023, 0.0067]",-0.0912 ± 0.0061,"-0.0912 ± 0.0061 [95% CI: -0.0981, -0.0843]",0.0010 ± 0.0006,"0.0010 ± 0.0006 [95% CI: 0.0004, 0.0016]",0.1092 ± 0.0038,"0.1092 ± 0.0038 [95% CI: 0.1049, 0.1135]",0.9989 ± 0.0006,"0.9989 ± 0.0006 [95% CI: 0.9982, 0.9996]",0.9990 ± 0.0006,"0.9990 ± 0.0006 [95% CI: 0.9984, 0.9996]",0.1969 ± 0.0061,"0.1969 ± 0.0061 [95% CI: 0.1900, 0.2038]",0.1969 ± 0.0061,"0.1969 ± 0.0061 [95% CI: 0.1900, 0.2038]",0.3697 ± 0.0088,"0.3697 ± 0.0088 [95% CI: 0.3598, 0.3797]",0.0258 ± 0.0099,"0.0258 ± 0.0099 [95% CI: 0.0145, 0.0370]",0.3268 ± 0.0164,"0.3268 ± 0.0164 [95% CI: 0.3082, 0.3454]",0.4115 ± 0.0251,"0.4115 ± 0.0251 [95% CI: 0.3831, 0.4399]",0.0005 ± 0.0000,"0.0005 ± 0.0000 [95% CI: 0.0005, 0.0005]",228.93,"[95% CI: 228.93, 228.93]",20.06,"[95% CI: 19.92, 20.20]",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
cifar100,SHARED_ADAPTER,FEDAVG,current,16,NA,NA,False,False,True,10,NA,False,0,0.0000,3,0.1027 ± 0.0036,"0.1027 ± 0.0036 [95% CI: 0.0986, 0.1069]",0.0027 ± 0.0032,"0.0027 ± 0.0032 [95% CI: -0.0009, 0.0064]",NaN,NaN,NaN,NaN,NaN,NaN,0.1027 ± 0.0036,"0.1027 ± 0.0036 [95% CI: 0.0986, 0.1069]",0.9973 ± 0.0032,"0.9973 ± 0.0032 [95% CI: 0.9936, 1.0009]",NaN,NaN,0.1863 ± 0.0060,"0.1863 ± 0.0060 [95% CI: 0.1795, 0.1930]",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0004 ± 0.0000,"0.0004 ± 0.0000 [95% CI: 0.0004, 0.0004]",260.21,"[95% CI: 260.21, 260.21]",16.38,"[95% CI: 16.26, 16.50]",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
cifar100,SHARED_ADAPTER,FEDAVG,current,16,NA,NA,False,False,True,10,0.1000,False,20,0.0000,3,0.1036 ± 0.0048,"0.1036 ± 0.0048 [95% CI: 0.0981, 0.1091]",0.0006 ± 0.0006,"0.0006 ± 0.0006 [95% CI: -0.0000, 0.0013]",0.0004 ± 0.0003,"0.0004 ± 0.0003 [95% CI: 0.0000, 0.0007]",-0.0885 ± 0.0052,"-0.0885 ± 0.0052 [95% CI: -0.0944, -0.0826]",0.0006 ± 0.0005,"0.0006 ± 0.0005 [95% CI: -0.0000, 0.0011]",0.1036 ± 0.0048,"0.1036 ± 0.0048 [95% CI: 0.0981, 0.1091]",0.9994 ± 0.0006,"0.9994 ± 0.0006 [95% CI: 0.9987, 1.0000]",0.9994 ± 0.0005,"0.9994 ± 0.0005 [95% CI: 0.9989, 1.0000]",0.1877 ± 0.0079,"0.1877 ± 0.0079 [95% CI: 0.1787, 0.1967]",0.1877 ± 0.0079,"0.1877 ± 0.0079 [95% CI: 0.1787, 0.1967]",0.5623 ± 0.0173,"0.5623 ± 0.0173 [95% CI: 0.5427, 0.5819]",0.0778 ± 0.0181,"0.0778 ± 0.0181 [95% CI: 0.0573, 0.0982]",0.4327 ± 0.0524,"0.4327 ± 0.0524 [95% CI: 0.3734, 0.4920]",0.6979 ± 0.0217,"0.6979 ± 0.0217 [95% CI: 0.6733, 0.7224]",0.0004 ± 0.0000,"0.0004 ± 0.0000 [95% CI: 0.0004, 0.0004]",260.21,"[95% CI: 260.21, 260.21]",20.30,"[95% CI: 20.20, 20.39]",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
cifar100,SHARED_ADAPTER,FEDAVG,current,16,NA,NA,False,False,True,10,0.5000,False,0,0.0000,6,0.1026 ± 0.0029,"0.1026 ± 0.0029 [95% CI: 0.1002, 0.1049]",0.0021 ± 0.0008,"0.0021 ± 0.0008 [95% CI: 0.0015, 0.0028]",NaN,NaN,NaN,NaN,NaN,NaN,0.1026 ± 0.0029,"0.1026 ± 0.0029 [95% CI: 0.1002, 0.1049]",0.9979 ± 0.0008,"0.9979 ± 0.0008 [95% CI: 0.9972, 0.9985]",NaN,NaN,0.1860 ± 0.0048,"0.1860 ± 0.0048 [95% CI: 0.1821, 0.1899]",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0004 ± 0.0000,"0.0004 ± 0.0000 [95% CI: 0.0004, 0.0004]",260.21,"[95% CI: 260.21, 260.21]",10.79,"[95% CI: 10.77, 10.81]",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
cifar100,SHARED_ADAPTER,FEDAVG,current,16,NA,NA,False,False,True,10,0.7000,False,20,0.0000,9,0.1023 ± 0.0030,"0.1023 ± 0.0030 [95% CI: 0.1003, 0.1043]",0.0020 ± 0.0051,"0.0020 ± 0.0051 [95% CI: -0.0014, 0.0053]",-0.0005 ± 0.0014,"-0.0005 ± 0.0014 [95% CI: -0.0014, 0.0004]",-0.0840 ± 0.0081,"-0.0840 ± 0.0081 [95% CI: -0.0893, -0.0787]",0.0018 ± 0.0046,"0.0018 ± 0.0046 [95% CI: -0.0012, 0.0048]",0.1023 ± 0.0030,"0.1023 ± 0.0030 [95% CI: 0.1003, 0.1043]",0.9980 ± 0.0051,"0.9980 ± 0.0051 [95% CI: 0.9947, 1.0014]",0.9982 ± 0.0046,"0.9982 ± 0.0046 [95% CI: 0.9952, 1.0012]",0.1855 ± 0.0049,"0.1855 ± 0.0049 [95% CI: 0.1824, 0.1887]",0.1855 ± 0.0049,"0.1855 ± 0.0049 [95% CI: 0.1824, 0.1887]",0.3625 ± 0.0178,"0.3625 ± 0.0178 [95% CI: 0.3508, 0.3742]",0.0259 ± 0.0064,"0.0259 ± 0.0064 [95% CI: 0.0217, 0.0301]",0.3199 ± 0.0274,"0.3199 ± 0.0274 [95% CI: 0.3020, 0.3378]",0.4047 ± 0.0107,"0.4047 ± 0.0107 [95% CI: 0.3977, 0.4117]",0.0004 ± 0.0000,"0.0004 ± 0.0000 [95% CI: 0.0004, 0.0004]",260.21,"[95% CI: 260.21, 260.21]",20.04,"[95% CI: 19.98, 20.10]",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
cifar100,SHARED_ADAPTER,FEDAVG,current,32,NA,NA,False,False,True,10,0.7000,False,20,0.0000,3,0.1058 ± 0.0021,"0.1058 ± 0.0021 [95% CI: 0.1034, 0.1082]",0.0067 ± 0.0101,"0.0067 ± 0.0101 [95% CI: -0.0047, 0.0182]",-0.0017 ± 0.0028,"-0.0017 ± 0.0028 [95% CI: -0.0049, 0.0015]",-0.0913 ± 0.0147,"-0.0913 ± 0.0147 [95% CI: -0.1080, -0.0747]",0.0061 ± 0.0091,"0.0061 ± 0.0091 [95% CI: -0.0043, 0.0164]",0.1058 ± 0.0021,"0.1058 ± 0.0021 [95% CI: 0.1034, 0.1082]",0.9933 ± 0.0101,"0.9933 ± 0.0101 [95% CI: 0.9818, 1.0047]",0.9939 ± 0.0091,"0.9939 ± 0.0091 [95% CI: 0.9836, 1.0043]",0.1912 ± 0.0033,"0.1912 ± 0.0033 [95% CI: 0.1874, 0.1950]",0.1912 ± 0.0034,"0.1912 ± 0.0034 [95% CI: 0.1874, 0.1950]",0.3607 ± 0.0241,"0.3607 ± 0.0241 [95% CI: 0.3334, 0.3880]",0.0205 ± 0.0033,"0.0205 ± 0.0033 [95% CI: 0.0168, 0.0243]",0.3293 ± 0.0265,"0.3293 ± 0.0265 [95% CI: 0.2993, 0.3593]",0.3989 ± 0.0197,"0.3989 ± 0.0197 [95% CI: 0.3767, 0.4212]",0.0003 ± 0.0000,"0.0003 ± 0.0000 [95% CI: 0.0003, 0.0003]",322.77,"[95% CI: 322.77, 322.77]",20.05,"[95% CI: 19.95, 20.14]",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
cifar100,SI,FEDAVG,current,16,NA,NA,False,False,True,2,0.7000,False,20,0.0000,3,0.2268 ± 0.0142,"0.2268 ± 0.0142 [95% CI: 0.2107, 0.2429]",0.0647 ± 0.0150,"0.0647 ± 0.0150 [95% CI: 0.0476, 0.0817]",-0.0323 ± 0.0075,"-0.0323 ± 0.0075 [95% CI: -0.0408, -0.0238]",-0.1000 ± 0.0000,"-0.1000 ± 0.0000 [95% CI: -0.1000, -0.1000]",0.0323 ± 0.0075,"0.0323 ± 0.0075 [95% CI: 0.0238, 0.0408]",0.2268 ± 0.0142,"0.2268 ± 0.0142 [95% CI: 0.2107, 0.2429]",0.9353 ± 0.0150,"0.9353 ± 0.0150 [95% CI: 0.9183, 0.9524]",0.9677 ± 0.0075,"0.9677 ± 0.0075 [95% CI: 0.9592, 0.9762]",0.3649 ± 0.0174,"0.3649 ± 0.0174 [95% CI: 0.3452, 0.3846]",0.3673 ± 0.0182,"0.3673 ± 0.0182 [95% CI: 0.3467, 0.3880]",0.2946 ± 0.0227,"0.2946 ± 0.0227 [95% CI: 0.2689, 0.3203]",0.0262 ± 0.0232,"0.0262 ± 0.0232 [95% CI: 0.0000, 0.0525]",0.2683 ± 0.0205,"0.2683 ± 0.0205 [95% CI: 0.2451, 0.2915]",0.3208 ± 0.0410,"0.3208 ± 0.0410 [95% CI: 0.2744, 0.3673]",0.0007 ± 0.0000,"0.0007 ± 0.0000 [95% CI: 0.0006, 0.0007]",342.71,"[95% CI: 342.71, 342.71]",0.72,"[95% CI: 0.68, 0.76]",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
cifar100,TASK_ADAPTER,FEDAVG,current,8,NA,NA,False,False,True,10,0.7000,False,20,0.0000,6,0.1048 ± 0.0044,"0.1048 ± 0.0044 [95% CI: 0.1014, 0.1083]",0.0000 ± 0.0000,"0.0000 ± 0.0000 [95% CI: 0.0000, 0.0000]",0.0000 ± 0.0000,"0.0000 ± 0.0000 [95% CI: 0.0000, 0.0000]",-0.0975 ± 0.0017,"-0.0975 ± 0.0017 [95% CI: -0.0989, -0.0962]",0.0000 ± 0.0000,"0.0000 ± 0.0000 [95% CI: 0.0000, 0.0000]",0.1048 ± 0.0044,"0.1048 ± 0.0044 [95% CI: 0.1014, 0.1083]",1.0000 ± 0.0000,"1.0000 ± 0.0000 [95% CI: 1.0000, 1.0000]",1.0000 ± 0.0000,"1.0000 ± 0.0000 [95% CI: 1.0000, 1.0000]",0.1897 ± 0.0071,"0.1897 ± 0.0071 [95% CI: 0.1840, 0.1954]",0.1897 ± 0.0071,"0.1897 ± 0.0071 [95% CI: 0.1840, 0.1954]",0.3691 ± 0.0053,"0.3691 ± 0.0053 [95% CI: 0.3648, 0.3734]",0.0246 ± 0.0029,"0.0246 ± 0.0029 [95% CI: 0.0223, 0.0269]",0.3325 ± 0.0045,"0.3325 ± 0.0045 [95% CI: 0.3289, 0.3361]",0.4075 ± 0.0100,"0.4075 ± 0.0100 [95% CI: 0.3995, 0.4156]",0.0005 ± 0.0000,"0.0005 ± 0.0000 [95% CI: 0.0004, 0.0005]",228.93,"[95% CI: 228.93, 228.93]",20.09,"[95% CI: 20.02, 20.15]",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
cifar100,TASK_ADAPTER,FEDAVG,current,16,NA,NA,False,False,True,10,NA,False,0,0.0000,3,0.1042 ± 0.0039,"0.1042 ± 0.0039 [95% CI: 0.0998, 0.1086]",0.0000 ± 0.0000,"0.0000 ± 0.0000 [95% CI: 0.0000, 0.0000]",NaN,NaN,NaN,NaN,NaN,NaN,0.1042 ± 0.0039,"0.1042 ± 0.0039 [95% CI: 0.0998, 0.1086]",1.0000 ± 0.0000,"1.0000 ± 0.0000 [95% CI: 1.0000, 1.0000]",NaN,NaN,0.1887 ± 0.0063,"0.1887 ± 0.0063 [95% CI: 0.1816, 0.1959]",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0004 ± 0.0000,"0.0004 ± 0.0000 [95% CI: 0.0004, 0.0004]",260.21,"[95% CI: 260.21, 260.21]",16.38,"[95% CI: 16.27, 16.49]",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
cifar100,TASK_ADAPTER,FEDAVG,current,16,NA,NA,False,False,True,10,0.1000,False,20,0.0000,3,0.1051 ± 0.0052,"0.1051 ± 0.0052 [95% CI: 0.0992, 0.1110]",0.0000 ± 0.0000,"0.0000 ± 0.0000 [95% CI: 0.0000, 0.0000]",0.0000 ± 0.0000,"0.0000 ± 0.0000 [95% CI: 0.0000, 0.0000]",-0.0891 ± 0.0107,"-0.0891 ± 0.0107 [95% CI: -0.1012, -0.0770]",0.0000 ± 0.0000,"0.0000 ± 0.0000 [95% CI: 0.0000, 0.0000]",0.1051 ± 0.0052,"0.1051 ± 0.0052 [95% CI: 0.0992, 0.1110]",1.0000 ± 0.0000,"1.0000 ± 0.0000 [95% CI: 1.0000, 1.0000]",1.0000 ± 0.0000,"1.0000 ± 0.0000 [95% CI: 1.0000, 1.0000]",0.1902 ± 0.0085,"0.1902 ± 0.0085 [95% CI: 0.1806, 0.1999]",0.1902 ± 0.0085,"0.1902 ± 0.0085 [95% CI: 0.1806, 0.1999]",0.5945 ± 0.0108,"0.5945 ± 0.0108 [95% CI: 0.5823, 0.6068]",0.0605 ± 0.0015,"0.0605 ± 0.0015 [95% CI: 0.0588, 0.0622]",0.5040 ± 0.0095,"0.5040 ± 0.0095 [95% CI: 0.4933, 0.5148]",0.6997 ± 0.0259,"0.6997 ± 0.0259 [95% CI: 0.6704, 0.7290]",0.0004 ± 0.0000,"0.0004 ± 0.0000 [95% CI: 0.0004, 0.0004]",260.21,"[95% CI: 260.21, 260.21]",20.23,"[95% CI: 20.19, 20.26]",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
cifar100,TASK_ADAPTER,FEDAVG,current,16,NA,NA,False,False,True,10,0.5000,False,0,0.0000,6,0.1043 ± 0.0045,"0.1043 ± 0.0045 [95% CI: 0.1007, 0.1079]",0.0000 ± 0.0000,"0.0000 ± 0.0000 [95% CI: 0.0000, 0.0000]",NaN,NaN,NaN,NaN,NaN,NaN,0.1043 ± 0.0045,"0.1043 ± 0.0045 [95% CI: 0.1007, 0.1079]",1.0000 ± 0.0000,"1.0000 ± 0.0000 [95% CI: 1.0000, 1.0000]",NaN,NaN,0.1888 ± 0.0074,"0.1888 ± 0.0074 [95% CI: 0.1829, 0.1947]",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0004 ± 0.0000,"0.0004 ± 0.0000 [95% CI: 0.0004, 0.0004]",260.21,"[95% CI: 260.21, 260.21]",10.77,"[95% CI: 10.73, 10.81]",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
